Name,MVA,HV (kV),LV (kV),Step -2,Step -1,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34
EWHC3-_EWHC0G_1,13.0,33,0.6899999976158142,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5000821554660534,0.5000815028426411,0.5001428795759549,0.5001991141665426,0.5001991141665426,0.500194570168441,0.5003340187043779,0.5003340187043779,0.5001296577310987,0.5000554530912902,0.5001519176853251,0.5013127129991248,-1.899181339680029,-1.896833889299916,-1.8968741252267187,-1.8982641266954459,-2.4979200202576757,-2.4970004307912004,-4.893955668160176,-4.893527269698941,-4.893397627120771,-4.893652184720683,-4.893983492007462,-4.8939766577765305,-4.893976727678,-4.8943165686653,-4.894294437747299,-4.894294437747299,-4.894193906078958
CRAG5A_CRAG0A_1,8.84000015258789,11,0.6899999976158142,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.853422433694234e-09,1.1158788516879515e-08,1.1034243073821253e-08,1.1053110007707052e-08,1.1209443461481563e-08,1.125201686877162e-08,1.1178610813477827e-08,1.115946518392052e-08,1.1198165439445466e-08,1.1257404956236596e-08,1.1256070558435611e-08,1.125610505290783e-08,1.1243798829354241e-08,1.1151659254735514e-08,1.1151659254735514e-08,1.1125278804460365e-08
LAHOT2_LAHO20_T2,12.0,33,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1080500999773508e-08,1.1092500106807144e-08,1.1279919862693461e-08,1.1009385385008685e-08,1.1274149378356045e-08,1.1251596944804019e-08,1.1016443152080305e-08,1.1084414182848767e-08,1.1082864823553935e-08,1.1082894528114433e-08,2.7526740737798456,2.375243441806086,2.375243441806086,2.377096899171703
CRAG5-_CRAG0B_1,2.6600000858306885,11,0.6899999976158142,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.653371872548e-09,1.0958746073056991e-08,1.083423324563198e-08,1.085306975612242e-08,1.1009445079091851e-08,1.105196545439873e-08,1.0978575012259128e-08,1.0959416995214199e-08,1.0998144308440973e-08,1.1057406605777177e-08,1.1056067449780968e-08,1.1056060845075825e-08,1.1043775993738288e-08,1.0951625517088934e-08,1.0951625517088934e-08,1.0925248787003363e-08
GRNAT2_GRNA20_T2,12.0,33,11.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.39471998613722,10.776619599922416,10.776553495833468,7.172207318154134,7.172188342120069,7.17235424064125,7.172398245597902,7.1723096481520345,7.172176217584315,7.172179216329326,7.172179185726905,7.172180810954399,4.82974556393051,4.82974556393051,4.830333430247192
MOFTT2_MOFT20_T2,7.5,33,11.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.298898663969302,2.1439686258744075,2.1440756100914093,2.3705305248431348,2.3705353020209925,2.370493612429386,2.370493612429386,2.3714840624891607
LOBIT2_LOBI20_T2,24.0,33,11.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.790022225405778,11.070134999311183,7.367084521938443,7.36702294628838,7.610282969463295,7.490669450321045,7.490647524628435,7.490838890666586,7.490838890666586,7.489311826215435
GRNAT1_GRNA10_T1,12.0,33,11.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007415107860928676,0.007423066917112597,0.007347820120510137,0.0073542666073373696,0.007330990796876995,0.0073163893197870445,0.007345872031934333,0.007391030954149896,0.007390010081888862,0.0073900204979489,0.007465860795306898,2.3374910202361447,2.3374910202361447,2.3369071295542914
MIBIT1_MIBI10_T1,10.0,33,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.490336989188298,5.231556756146436,5.231716422399247,5.231879508792527,5.231584988196853,5.2315653454542606,5.231711952991929,5.231667978090956,5.231743908040698,5.231763922046606,5.231723579708787,5.231662406690827,5.231663784997312,5.231663770932721,5.231584572050786,5.231590620623617,5.231590620623617,5.23161617902381
LAHOT1_LAHO10_T1,12.0,33,11.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.775620160476112,9.558918742690436,6.364305397161546,6.364280441933088,6.364078259688465,6.364024750227067,6.364117328858323,6.364141878276728,6.364092456699024,6.364017991944035,6.364019663425453,6.364019646368511,3.6008240723960645,3.9788480794477894,3.9788480794477894,3.9770141923967763
