Name,Stage -1,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15
lne_CHAP1-_AL048A_1,0,0,0,0,0,0,5.91E-05,0.089581444,0.048286472,0.04790585,0.049624087,0.049423187,0.070917515,0.048534603,0.070312367,0.049703313,0.07069889
lne_AL048B_GRNA1-_1,0,0,0,0,0,0,6.47E-12,6.56E-12,4.00E-12,3.97E-12,4.11E-12,4.09E-12,6.33E-12,4.02E-12,6.27E-12,4.12E-12,6.30E-12
lne_CHAP1-_AL048B_1,0,0,0,0,0,0,-2.33E-12,-2.36E-12,-1.43E-12,-1.42E-12,-1.47E-12,-1.47E-12,-2.27E-12,-1.44E-12,-2.25E-12,-1.48E-12,-2.26E-12
lne_BV001A_ECCF1J_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lne_CHAP1-_BV001A_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lne_BV001B_ECCF1K_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lne_CHAP1-_BV001B_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAP08_CHAPX3_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
CHAP3-_SOLWAY,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
CHAP3A1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
CHAP3A2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
CHAP1-_CHAP3-_1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
CHAP1-_CHAP3-_2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1006,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1004,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
806,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
804,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
DUMF-2 A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
DUMF-2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
616,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
614,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
ECCF-2 A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
ECCF-2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
416,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
414,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
206,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
204,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA-2 A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA-2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
336 330 334,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
506,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
504,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
DUMF-1 A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
DUMF-1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
716,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
714,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
916,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
914,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
ECCF-1 A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
ECCF-1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1106,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1104,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA-1 A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA-1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
124 120 128,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
783 780 784,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
303 305 304,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
203 205 204,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
683 680 684,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
504 505 503,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
404 405 403,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
M1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
R1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
X606 X604,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
HARK A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
HARK,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
X516 X514,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA 780 A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
X510,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA 780,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA 780 tx,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
X406 X404,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
ELVA A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
ELVA,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
X447,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
X447 X449,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
X449,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
SC1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
X448,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
X236 X230 X234,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
X116 X114,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA 680 A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
X110,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA 680,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
GRNA 680 tx,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
SC2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
SC3,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
SC4,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
SC5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
SC6,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
SC7,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
SC8,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
