Name,MVA,HV (kV),LV (kV),Step -2,Step -1,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34
EWHC3-_EWHC0G_1,13.0,33,0.6899999976158142,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3492068496482009,0.34492962395150695,0.6312770270956989,0.8094359657303221,0.8094359657303221,0.7965097785079778,1.1295951922265297,1.1295951922265297,0.5815812216088914,0.01739823062846224,-0.6570448909288735,-2.3560928210404555,0.3093547621438264,-3.160676081961455,-3.1614808033667283,-2.021044892235509,-1.7301351087368397,-2.640027202674291,-1.6887204878870323,-2.156192193289696,-2.2782749573195487,-2.031774017985935,-1.6542346643581405,-1.662769043093313,-1.662681965897571,-1.1691265031978295,-1.2070484291555523,-1.2070484291555523,-1.3668702426313426
CRAG5A_CRAG0A_1,8.84000015258789,11,0.6899999976158142,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7256174033493415e-14,5.481359850608829e-16,-1.0839469506224307e-14,2.199229054142891e-14,2.0293346574250903e-14,8.550418867135357e-15,3.400985288171478e-15,1.3494485843805024e-14,-3.758969502734748e-15,-2.9167301903801035e-15,2.139801924674433e-14,2.7040138560710433e-14,1.9219900132835933e-14,1.8627370156738356e-14,1.8627370156738356e-14,2.252236629843795e-14
LAHOT2_LAHO20_T2,12.0,33,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.969835913564442e-15,-6.453316492559419e-16,1.3564005866982949e-15,-1.874660114482822e-14,3.2880325744611128e-15,2.9553199515077725e-14,-5.471218142738028e-15,1.9459994582214576e-16,1.9726960331281695e-14,-4.077193039496196e-15,-0.4790837890949473,-0.47859893658732366,-0.47859893658732366,-0.4860918879470157
CRAG5-_CRAG0B_1,2.6600000858306885,11,0.6899999976158142,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.627267332010551e-15,5.838297297885415e-15,-1.6049556503131872e-15,4.308384888876247e-15,1.8281239242656804e-14,-3.0325658344931887e-15,7.337474164318575e-15,-1.1178311193905839e-14,8.305148010818862e-15,2.913955311106643e-14,5.462234286719913e-15,1.0318164912696066e-14,1.566118794868271e-14,1.7972315081272733e-15,1.7972315081272733e-15,5.06218549120807e-15
GRNAT2_GRNA20_T2,12.0,33,11.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2907952985596443,0.5061368844358807,0.5045157950550272,0.01740443938397407,0.016848054539591928,0.021710537911173056,0.02299332803080878,0.02040871194579985,0.016492375808194737,0.016580358624572078,0.016579460797281342,0.016627141175576732,0.10790221896674512,0.10790221896674512,0.10767572200647324
MOFTT2_MOFT20_T2,7.5,33,11.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07516138968587827,-0.029033864043029323,-0.027733569639248,-0.3700851020899756,-0.3700547116780353,-0.370319892570261,-0.370319892570261,-0.3758650631013611
LOBIT2_LOBI20_T2,24.0,33,11.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5542528343064137,1.4331387436127496,0.6485936610513525,0.6469796917609649,2.0452847038670536,2.1339528430652877,2.1338873894161434,2.13445889522112,2.13445889522112,2.1338995974506605
GRNAT1_GRNA10_T1,12.0,33,11.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.071532165918825e-17,6.114900252818245e-17,5.854691731421724e-17,5.984795992119984e-17,6.028164079019405e-17,5.898059818321144e-17,5.811323644522304e-17,5.854691731421724e-17,5.898059818321144e-17,5.854691731421724e-17,5.941427905220564e-17,-0.36187260871730864,-0.36187260871730864,-0.36073018801199663
MIBIT1_MIBI10_T1,10.0,33,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12738291400223334,-0.2082029272022945,-0.20501359359077043,-0.20175594273039055,-0.2076389919533772,-0.20803135576557108,-0.20510287000708294,-0.20598126870673994,-0.204462735017503,-0.20406298235398568,-0.20486879259221769,-0.20609255743129262,-0.20606502575751384,-0.2060653066977498,-0.20764730447164048,-0.2075264842206288,-0.2075264842206288,-0.20701595580876808
LAHOT1_LAHO10_T1,12.0,33,11.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842879632597267,1.5627039640127132,0.7879833270324683,0.7870533102797461,0.779440471177903,0.7774014425633144,0.7809269793968314,0.7818554497886181,0.7799840355876828,0.7771431624687659,0.7772070571413809,0.7772064051446823,1.0284029026240216,1.0425893723096122,1.0425893723096122,1.0510231632982576
