Name,Step -2,Step -1,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,component
GRNA3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999369275,0.999369275,0.985193639,0.985193639,0.985193639,0.999452827,0.997085236,0.986249292,0.986249292,0.986249292,0.986249292,0.986249292,busbars_voltage
LAHO3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995520039,0.995520039,0.983152638,0.983152638,0.983152638,0.997432253,0.995061098,0.986135557,0.986135557,0.986135557,0.986135557,0.986135557,busbars_voltage
WYSB0G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,busbars_voltage
LOBIT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919444029,0.919444029,0.919444029,0.973564735,0.954216369,0.962044147,0.962044147,0.962044147,0.962044147,0.962044147,busbars_voltage
LOBI3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919446845,0.9735654,0.95421704,0.962046358,0.962046358,0.962046358,0.962046358,0.962046358,busbars_voltage
KIBAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892854277,0.914988052,0.950401508,0.950401508,0.950401508,0.950401508,0.950401508,busbars_voltage
GRNA3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953583715,0.976935101,0.976935101,0.969216143,0.969216143,0.969216143,0.983662014,0.981253323,0.991908167,0.991908167,0.991908167,0.991908167,0.991908167,busbars_voltage
MIBIT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964726257,0.964726257,0.964726257,0.96754642,0.986352636,0.986352636,0.983573492,0.983573492,0.983573492,0.996755524,0.995032976,1.001283435,1.001283435,1.001283435,1.001283435,1.001283435,busbars_voltage
MOFTT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881264675,0.90673808,0.944031422,0.944031422,0.944031422,0.944031422,0.944031422,busbars_voltage
CHAP3A2,0,0,0,0,0,1.015177637,1.015177637,1.016130585,1.016130585,1.020376142,1.020376142,1.020376142,1.024283482,1.024283482,1.024283482,1.024283482,1.024283482,0.984221233,0.984221233,0.980333801,0.980333801,0.980333801,0.995733364,1.005342395,1.005342395,0.986743539,0.986743539,0.986743539,1.000901673,0.998551241,1.003678821,1.003678821,1.003678821,1.003678821,1.003678821,busbars_voltage
CHAP3A1,0,0,0,0,0,1.015177637,1.015177637,1.016130585,1.016130585,1.020376142,1.020376142,1.020376142,1.024283482,1.024283482,1.024283482,1.024283482,1.024283482,0.984221233,0.984221233,0.980333801,0.980333801,0.980333801,0.995733364,1.005342395,1.005342395,0.986743539,0.986743539,0.986743539,1.000901673,0.998551241,1.003678821,1.003678821,1.003678821,1.003678821,1.003678821,busbars_voltage
GRNAT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953582354,0.976934595,0.976934595,0.969216114,0.969216114,0.969216114,0.983661989,0.981253294,0.991908058,0.991908058,0.991908058,0.991908058,0.991908058,busbars_voltage
NEWC5-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000430722,1.000430722,0.993243244,0.993243244,0.993243244,0.992648829,0.990264421,0.996288723,0.996288723,0.996288723,0.996288723,0.996288723,busbars_voltage
ANANT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977343778,0.977343778,0.975480457,0.975480457,0.975480457,0.992755111,1.002400659,1.002400659,0.983740092,0.983740092,0.983740092,0.997943179,0.995583794,1.000745467,1.000745467,1.000745467,1.000745467,1.000745467,busbars_voltage
ANAN5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.004216181,1.004216181,1.005498153,1.005498153,1.005498153,1.000473212,1.01024091,1.01024091,1.003493065,1.003493065,1.003493065,1.005727292,1.003337971,1.008546405,1.008546405,1.008546405,1.008546405,1.008546405,busbars_voltage
STCR3-,0,0,0,1.015553374,1.015553374,1.013211263,1.013211263,1.014054253,1.014054253,1.017097341,1.017097341,1.017097341,1.019918292,1.019918292,1.019918292,1.019918292,1.019918292,0.998296065,0.998296065,0.996579667,0.996579667,0.996579667,1.006213194,1.011610561,1.011610561,1.003109998,1.003109998,1.003109998,1.011541585,1.010426576,1.013045663,1.013045663,1.013045663,1.013045663,1.013045663,busbars_voltage
STCR5-,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,busbars_voltage
MINS0G,0,0,0,0,0,0,1.00892476,1.00988683,1.00988683,1.014172853,1.014172853,1.014172853,1.018117183,1.018117183,1.018117183,1.018117183,1.018117183,0.977663871,0.977663871,0.973737042,0.973737042,0.973737042,1.019999981,1.019999985,1.019999985,1.019999981,1.019999981,1.019999981,1.019999989,1.019999981,1.019999987,1.019999987,1.019999987,1.019999987,1.019999987,busbars_voltage
EWHC0G,0,0,0,0,0,0,0,1.011886866,1.011886866,1.016176309,1.016176309,1.016176309,1.020123808,1.020123808,1.020123808,1.020123808,1.020123808,0.979638909,0.979638909,0.960091782,0.960091782,0.960091782,0.962929,0.981848982,0.981848982,1.010056797,1.010056797,1.010056797,1.020000007,1.019999981,1.020000001,1.020000001,1.020000001,1.020000001,1.020000001,busbars_voltage
LOBI5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.004866604,1.004866604,1.004866604,1.001760403,1.009246609,1.006061024,1.006061024,1.006061024,1.006061024,1.006061024,busbars_voltage
KIBA5-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999800204,0.990982891,0.996487217,0.996487217,0.996487217,0.996487217,0.996487217,busbars_voltage
GRNA5-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000885754,1.005115874,1.005115874,1.000146463,1.000146463,1.000146463,1.002696541,1.00022003,1.009326892,1.009326892,1.009326892,1.009326892,1.009326892,busbars_voltage
LOBI5-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00110071,1.00950341,1.014936659,1.006061024,1.006061024,1.006061024,1.006061024,1.006061024,busbars_voltage
ANAN5-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.004072763,1.005438972,1.005438972,1.005438972,1.000464753,1.010233763,1.010233763,1.003484999,1.003484999,1.003484999,1.005719546,1.003329903,1.008546405,1.008546405,1.008546405,1.008546405,1.008546405,busbars_voltage
MOFT5-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992832202,0.992917336,0.992917336,0.992917336,0.992917336,0.992917336,busbars_voltage
MIBI5-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.001186602,1.001186602,1.001186602,0.993144164,0.9996399,0.9996399,0.996820026,0.996820026,0.996820026,0.997553219,0.995827237,1.002089961,1.002089961,1.002089961,1.002089961,1.002089961,busbars_voltage
CRAG0A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985803139,1.006963807,1.006963807,1.003595503,1.003595503,1.003595503,1.00584762,1.003791269,1.003327045,1.003327045,1.003327045,1.003327045,1.003327045,busbars_voltage
LAHO5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985802319,1.006962969,1.006962969,1.003594668,1.003594668,1.003594668,1.005846783,1.003790434,1.00332621,1.00332621,1.00332621,1.00332621,1.00332621,busbars_voltage
CRAG5A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985803139,1.006963807,1.006963807,1.003595503,1.003595503,1.003595503,1.00584762,1.003791269,1.003327045,1.003327045,1.003327045,1.003327045,1.003327045,busbars_voltage
CRAG5B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985802319,1.006962969,1.006962969,1.003594668,1.003594668,1.003594668,1.005846783,1.003790434,1.00332621,1.00332621,1.00332621,1.00332621,1.00332621,busbars_voltage
EWEH3-,0,0,0,0,1.015282896,1.015282896,1.015282896,1.015282896,1.015282896,1.019557986,1.019557986,1.019557986,1.023492381,1.023492381,1.023492381,1.023492381,1.023492381,0.983146881,0.983146881,0.963671277,0.963671277,0.963671277,0.966497933,0.985349046,0.985349046,0.994513637,0.994513637,0.994513637,1.006936963,1.00559694,1.010458615,1.010458615,1.010458615,1.010458615,1.010458615,busbars_voltage
GRNA5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000885754,1.005115874,1.005115874,1.000146463,1.000146463,1.000146463,1.002696541,1.00022003,1.009326892,1.009326892,1.009326892,1.009326892,1.009326892,busbars_voltage
MOFT5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991681304,0.994976893,0.992917336,0.992917336,0.992917336,0.992917336,0.992917336,busbars_voltage
LAHO5-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985802319,1.006962969,1.006962969,1.003594668,1.003594668,1.003594668,1.005846783,1.003790434,1.00332621,1.00332621,1.00332621,1.00332621,1.00332621,busbars_voltage
MINS3-,0,0,0,0,0,1.011976854,1.011976854,1.012936017,1.012936017,1.017209153,1.017209153,1.017209153,1.021141719,1.021141719,1.021141719,1.021141719,1.021141719,0.980813562,0.980813562,0.976899436,0.976899436,0.976899436,1.01487866,1.018676729,1.018676729,1.01132415,1.01132415,1.01132415,1.016921655,1.015992588,1.01801928,1.01801928,1.01801928,1.01801928,1.01801928,busbars_voltage
LOBIT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920329983,0.920329983,0.920329983,0.945064719,0.952002941,0.973112351,0.973112351,0.973112351,0.973112351,0.973112351,busbars_voltage
CRAG0G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985802319,1.006962969,1.006962969,1.003594668,1.003594668,1.003594668,1.005846783,1.003790434,1.00332621,1.00332621,1.00332621,1.00332621,1.00332621,busbars_voltage
EWEH0G,0,0,0,0,0,0,0,0,1.012927416,1.012927416,1.012927416,1.012927416,1.012927416,1.012927416,1.012927416,1.012927416,1.012927416,0.878104232,0.878104232,0.874635936,0.874635936,0.874635936,0.88837513,1.011098074,1.011098074,0.880354582,0.880354582,0.880354582,1.006631826,0.890889188,1.009424867,1.009424867,1.009424867,1.009424867,1.009424867,busbars_voltage
EWEH1Q,0,0,0,0,0,0,0,0,0,0,0,0,1.012972734,1.012972734,1.012972734,1.012972734,1.012972734,0.79032835,0.79032835,0.787206747,0.787206747,0.787206747,0.799572561,0.994290755,0.994290755,0.792353753,0.792353753,0.792353753,0.989898749,0.801835312,0.992645362,0.992645362,0.992645362,0.992645362,0.992645362,busbars_voltage
EWEH0G_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.012972734,0.79032835,0.79032835,0.787206747,0.787206747,0.787206747,0.799572561,0.994290755,0.994290755,0.792353753,0.792353753,0.792353753,0.989898749,0.801835312,0.992645362,0.992645362,0.992645362,0.992645362,0.992645362,busbars_voltage
BR001-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,busbars_voltage
AL048A,0,0,0,0,0,0,0,0,0,1.006273286,1.006273286,1.006273286,1.012816006,1.012816006,1.012816006,1.012816006,1.012816006,0.790207855,0.790207855,0.787086728,0.787086728,0.787086728,0.799450659,0.994137179,0.994137179,0.79223295,0.79223295,0.79223295,0.989745852,0.801713065,0.99249204,0.99249204,0.99249204,0.99249204,0.99249204,busbars_voltage
