network,Name,Step -2,Step -1,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31
chapelcross33kv,CHAP3-_MIBI3-_1,0,0,0,0,0,0,0,-0.330255817,-0.330255817,-0.339171866,-0.339171866,-0.339171866,-0.347409705,-0.347409705,-0.347409705,-0.347409705,-0.264403831,-0.264403831,0.211684213,0.211684213,5.918752845,2.59255014,0.965256358,0.965256358,-3.012985429,-3.012985429,-3.012985429,-2.567407351,-2.841832296,-1.789730067,-1.789730067,-1.789730067,-1.789730067,-1.789730067
chapelcross33kv,ANANT1_CHAP3-_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.853454634,0.853454634,0.281637849,0.281637849,-0.048317784,-0.046357926,-0.055566919,-0.055566919,-0.048326452,-0.048326452,-0.048326452,-0.051344942,-0.049086266,-0.053834003,-0.053834003,-0.053834003,-0.053834003,-0.053834003
chapelcross33kv,CARU3A_CHAPX1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06346E-14,-1.06346E-14,-1.06346E-14,-2.04925E-14,-6.23818E-15,-5.47148E-15,-5.47148E-15,-5.47148E-15,-5.47148E-15,-5.47148E-15
chapelcross33kv,ANANT2_CHAP3-_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870764382,0.870764382,0.290401642,0.290401642,-0.045403536,-0.043417141,-0.052751298,-0.052751298,-0.045424762,-0.045424762,-0.045424762,-0.048471785,-0.046182438,-0.051335142,-0.051335142,-0.051335142,-0.051335142,-0.051335142
chapelcross33kv,EWHC3-_MIBI3-_1,0,0,0,0,0,0,0,-0.331065855,-0.331065855,-0.339988485,-0.339988485,-0.339988485,-0.348232621,-0.348232621,-0.348232621,-3.48E-01,-2.65E-01,-2.65E-01,-2.26E-01,-0.226252178,-0.201589819,-0.231853775,-0.269622689,-0.269622689,-4.042529092,-4.042529092,-4.042529092,-3.574316745,-3.857481354,-2.825415642,-2.825415642,-2.825415642,-2.825415642,-2.825415642
chapelcross33kv,CRAG5A_LAHO5-_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.99102E-13,-5.62399E-13,-3.91069E-13,-3.91069E-13,-1.42095E-12,-1.42095E-12,-1.42095E-12,3.20805E-13,-2.39885E-12,6.84142E-12,6.84142E-12,6.84142E-12,6.84142E-12,6.84142E-12
chapelcross33kv,CHAPX4_LOBI3A_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096888147,0.228675441,-0.05214945,-0.05214945,-0.05214945,-0.05214945,-0.05214945
chapelcross33kv,CHAPX1_LOBI3A_1,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,3.480691364,3.480691364,3.480691364,1.768223721,1.180761302,-0.379228011,-0.379228011,-0.379228011,-0.379228011,-0.379228011
chapelcross33kv,CHAP3-_GRNA3B_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.211646271,0.955609789,0.955609789,0.208254236,0.208254236,0.208254236,0.196939033,0.201357614,0.156694261,0.156694261,0.156694261,0.156694261,0.156694261
chapelcross33kv,CHAP3-_MINS3-_1,0,0,0,0,0,0.725482429,0.725482429,0.72169316,0.72169316,0.70476992,0.70476992,0.70476992,0.689135128,0.689135128,0.689135128,0.689135128,0.846728204,0.846728204,0.861701021,0.861701021,-4.020075071,-4.719372248,-1.371041242,-1.371041242,-7.795417354,-7.795417354,-7.795417354,-2.926194402,-3.743932555,-1.955190848,-1.955190848,-1.955190848,-1.955190848,-1.955190848
