Name,MVA,HV (kV),LV (kV),Step -2,Step -1,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32
EWEH3-_EWHC0G_1,13,33,0.689999998,0,0,0,0,0,0,0,6.663745187,6.663745187,6.635616446,6.635616446,6.635616446,6.609939089,6.609939089,6.609939089,6.609939089,6.609939089,6.883103319,6.883103319,7.023240809,7.023240809,7.116565464,7.002547598,6.867607463,6.867607463,42.158468,42.158468,42.158468,39.60889916,40.80589871,36.92526356,36.92526356,36.92526356,36.92526356,36.92526356
CRAG5A_CRAG0A_1,8.840000153,11,0.689999998,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,1.11E-07,1.23E-07,1.25E-07,1.25E-07,1.25E-07,1.25E-07,1.25E-07,1.25E-07,1.25E-07,1.25E-07,1.25E-07,1.25E-07,1.25E-07,1.25E-07
LAHOT2_LAHO20_T2,12,33,11,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,0,0,0,9.36E-08,9.36E-08,9.48E-08,9.48E-08,9.48E-08,9.38E-08,9.35E-08,20.7881869,20.7881869,20.7881869,20.7881869,20.7881869
CRAG5-_CRAG0B_1,2.660000086,11,0.689999998,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,1.80E-07,2.00E-07,2.04E-07,2.04E-07,2.04E-07,2.04E-07,2.04E-07,2.04E-07,2.04E-07,2.04E-07,2.04E-07,2.04E-07,2.04E-07,2.04E-07
GRNAT2_GRNA20_T2,12,33,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.3077675,93.11476578,93.11476578,62.38497685,62.38497685,62.38497685,62.22630236,62.38038866,41.59839927,41.59839927,41.59839927,41.59839927,41.59839927
MOFTT2_MOFT20_T2,7.5,33,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.11632569,34.21727413,34.21727413,34.21727413,34.21727413,34.21727413
LOBIT2_LOBI20_T2,24,33,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.05004128,31.65076361,32.28893687,33.71721047,33.71721047,33.71721047,33.71721047,33.71721047
GRNAT1_GRNA10_T1,12,33,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062333229,0.062333229,0.061449058,0.061449058,0.061449058,0.06233844,0.062190768,20.36604174,20.36604174,20.36604174,20.36604174,20.36604174
MIBIT1_MIBI10_T1,10,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.7528034,108.7528034,82.53443115,54.1139637,53.08177021,53.08177021,53.23195273,53.23195273,53.23195273,52.52791203,52.61895985,52.29010313,52.29010313,52.29010313,52.29010313,52.29010313
LAHOT1_LAHO10_T1,12,33,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.099634,93.48749164,57.8193983,57.8193983,58.01319083,58.01319083,58.01319083,57.13175276,57.24862289,35.47092212,35.47092212,35.47092212,35.47092212,35.47092212
NEWCT1_NEWC10_T1,5,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2991484,44.2991484,22.30986574,22.30986574,22.30986574,21.98837121,22.04132168,22.24166304,22.24166304,22.24166304,22.24166304,22.24166304
KIBAT1_KIBA10_T1,5,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.36162519,44.92485203,28.84881959,28.84881959,28.84881959,28.84881959,28.84881959
