breaker,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,network
785 CUSTOMER,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,chapelcross33kv.csv
GRID 1,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,chapelcross33kv.csv
GRID 2,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,chapelcross33kv.csv
691 01,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,chapelcross33kv.csv
120,closed,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,allbreakers.csv
205,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
330,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
410,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
500,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
615,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
710,closed,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,allbreakers.csv
800,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
915,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
1005,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
1105,closed,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,allbreakers.csv
305,closed,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,allbreakers.csv
805,closed,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,allbreakers.csv
GRID 1A,closed,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,allbreakers.csv
WG2,closed,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,allbreakers.csv
GRID 1B,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
3L5,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
2L5,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
761 11,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
761 12,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
CB01,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
CB02,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
CB04,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
780,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
680,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
505,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
405,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
X442,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
X448,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
X405,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
X230,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
X110,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
X510,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
X605,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
761 MINS WF,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,allbreakers.csv
