breaker,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
WG2,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
GRID 1A,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
CB01,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
CB02,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
CB04,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
