breaker,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
X442,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed
X448,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed
X405,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
X230,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
X110,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
X510,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
X605,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
