network,Name,Rating (kA),Stage -1,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15
chapelcross33kv,lne_CHAP1-_HAKB1-_1,0.5773503,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chapelcross33kv,CRAG5B_LAHO5-_1,0.2729292,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chapelcross33kv,CHAPX3_LAHO3B_1,0.4279915,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5923929422254546e-09,1.7683213062038202e-09,1.8069893289006684e-09,1.8008382245524056e-09,1.8049581372584665e-09,1.8011971959043116e-09,1.8003473080601119e-09
chapelcross33kv,LOBI3B_MOFTT2_1,0.1940247,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017534127819413013,0.008828194096819739,0.008700806957947381,0.008721750451447711,0.028465123283814054
chapelcross33kv,lne_CHAP1-_DUMF1-_1,0.747931,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32430965410439005,0.17605781130281745
chapelcross33kv,CHAP3-_LOBI3B_1,0.3649554,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chapelcross33kv,CHAP3-_CHAPX1_1,0.4309132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373767208013877,0.1569173310619722,0.25917415127431775,0.21619590013192988
chapelcross33kv,CHAPX4_KIBAT1_1,0.3110693,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20438552491228937,0.19851546403432466,0.1706988749940484,0.1383064074804426
chapelcross33kv,CHAPX4_MOFTT1_1,0.3110693,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05395179424847285,0.03964210056913193,0.025691824070646713
chapelcross33kv,CHAP3-_CHAPX3_1,0.4309132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11825540773071118,0.08607157012391768,0.04989926150210518
chapelcross33kv,GRNA3A_GRNAT1_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5825217376524998,0.8462703068355286,0.837823241270103,0.8391793393333993,4.291079296789537
chapelcross33kv,LOBI3A_LOBIT1_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001308660638482647,0.0001290097820996971,0.00013087700287606714,0.00013056696960611353,0.041838689767213985
chapelcross33kv,LAHO3A_LAHOT1_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2834854628026119,0.13649490734513742,0.13548248308309416,0.13106612185529828
chapelcross33kv,LAHO3B_LAHOT2_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899341008784647,0.19627287238906865,0.12138928098354146,0.12179613986193974,0.1199455994596566,0.12019096314245217,0.07446963929435642
chapelcross33kv,MIBI3-_MIBIT1_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8805690790573946e-10,3.8824313533194293e-10,3.8880255941140053e-10,3.8787792366186694e-10,0.043643883235691225
chapelcross33kv,GRNA3B_GRNAT2_1,17.47797,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19026810187124477,0.14439783687326518,0.09467490353563568,0.09286903289089449,0.09313178421624238,0.0919000321689701,0.09205932459008259,0.09148397441759495
chapelcross33kv,MIBI3-_LAHO3A_1,0.1940247,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002943763124474161,0.0021446081908323075,0.001437304173642478,0.0014161720086178528,0.0014196718593142423,0.0009471899575878986
chapelcross33kv,LAHO3B_NEWCT1_1,0.4279915,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6395542220903159,0.4329506045632067,0.267767837613575,0.2686653115987924,0.264583277365835,0.2651245154557718,0.16426964670134456
chapelcross33kv,CHAP3-_MIBI3-_1,0.3649554,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03304421867487394,0.01664167624644979,0.01640186270852633,0.01644136023565214,0.016590801568775734
chapelcross33kv,ANANT1_CHAP3-_1,0.3649554,0,0,0.0,0.0,0.0,0.010332155323871819,0.010374039729010007,0.0104139581113885,0.010070984020391036,0.19933818668832767,0.4378038822180509,0.29729513075070974,0.22183389170905465,0.14564994095696596,0.14050419486839036,0.1425639952909573,0.09100480614147222
chapelcross33kv,CARU3A_CHAPX1_1,0.4309132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574929240997123,0.1929123701544675,0.1259315531200841,0.12618961597935532,0.12497256706272956,0.12734506995890346,0.12553201318257812,0.12583022382209685,0.1257905605130603
chapelcross33kv,ANANT2_CHAP3-_1,0.3649554,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001402682342020095,0.001423803459034034,0.0014213338677631173,0.0014301178141835963
chapelcross33kv,EWHC3-_MIBI3-_1,0.4006461,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.23943914538945088,0.1793722458563807,0.11708761773008707,0.11732758051996756,0.11619589742762614,0.11840185845184303,0.11671610175994938,0.11699339562060308,0.11582401850520135
