network,Name,Stage -1,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15
chapelcross33kv,CRAG5A_LAHO5-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.991020484817569e-13,-5.623985940202121e-13,-3.9106937489738347e-13,-1.4209479228722172e-12,3.208050784270857e-13,-2.3988542385606823e-12,6.84142286500795e-12
chapelcross33kv,CHAPX4_LOBI3A_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09688814672352541,0.22867544070802848,-0.05214945010081162
chapelcross33kv,CHAPX1_LOBI3A_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4806913637529715,1.7682237205418114,1.1807613018395644,-0.3792280108829682
chapelcross33kv,CHAP3-_GRNA3B_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.211646270941182,0.9556097892085624,0.2082542356857089,0.19693903299183502,0.20135761392676832,0.15669426108156914
chapelcross33kv,CHAP3-_MINS3-_1,0,0,0.0,0.0,0.7254824290246349,0.721693159905209,0.7047699204287681,0.6891351284493528,0.8467282036308144,0.8617010212381417,-4.0200750713810285,-4.719372248232629,-1.3710412415512891,-7.795417353999688,-2.926194401890676,-3.743932555091036,-1.9551908483558886
chapelcross33kv,CHAP3-_STCR3-_1,0,0,5.4094106448852495e-14,5.4094106448852495e-14,-0.725482429024848,-0.39143734319314294,0.6271957572310369,1.5862930755149125,-1.1289822785009722,-0.4771473955663659,-0.5947928759447185,1.2102152161516848,1.692063787079154,4.853888939979832,5.026377299076323,5.4768756232041245,4.904143798967786
chapelcross33kv,LOBI3B_LOBIT2_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5884904091856615,0.6470419931689764,0.6404388656415605,2.1269897511895905
chapelcross33kv,lne_BR001-_DUMF1-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chapelcross33kv,lne_CHAP1-_BR001-_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chapelcross33kv,lne_AL048A_GRNA1-_1,0,0,0.0,0.0,0.0,0.0,-0.36859667713361977,-1.3035529777421282,-0.8008929013877125,-0.794578738703176,-0.8230651271933674,-0.8197330036229179,-1.2719833460016103,-0.8050013792012359,-1.2607380969195512,-0.8243791770767525,-1.2677418074327675
chapelcross33kv,lne_CHAP1-_AL048A_1,0,0,0.0,0.0,0.0,0.0,-1.0136844403511298,-1.956259741204947,-1.1982036899671549,-1.1887571656764326,-1.2313777345553825,-1.2263925849857134,-1.9008184086533717,-1.2043511852566362,-1.8840300554211344,-1.2333436686903965,-1.8944973884924465
chapelcross33kv,lne_AL048B_GRNA1-_1,0,0,0.0,0.0,0.0,0.0,-6.606306369403253e-05,-6.693170464824515e-05,-4.074305333951065e-05,-4.0421838877950535e-05,-4.1871256898113486e-05,-4.170174393372555e-05,-6.448571020095877e-05,-4.095214836640934e-05,-6.391727256417177e-05,-4.193810569576428e-05,-6.427245944777324e-05
chapelcross33kv,lne_CHAP1-_AL048B_1,0,0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,1.4618619986188309e-22,-1.816793104776154e-18,5.906740717806553e-19,-1.5794686554477384e-18,-4.866751184776992e-18,1.1057727143959307e-19,1.007779542250834e-18,-1.3653288498332205e-21,2.553398257337818e-18,-2.2374045851194e-19
chapelcross33kv,lne_BV001A_ECCF1J_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chapelcross33kv,lne_CHAP1-_BV001A_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chapelcross33kv,lne_BV001B_ECCF1K_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chapelcross33kv,lne_CHAP1-_BV001B_1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chapelcross132kv,CHAP08_CHAPX3_1,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,CHAP3-_SOLWAY,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,CHAP3A1,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,CHAP3A2,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,CHAP1-_CHAP3-_1,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,CHAP1-_CHAP3-_2,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,M1,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,R1,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,1006,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,1004,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,HARK A,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,HARK,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,806,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,804,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,DUMF-2 A,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,DUMF-2,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,616,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
chapelcross132kv,614,999,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
