breaker,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
805,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
GRID 1A,open,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed
WG2,open,open,open,open,open,open,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed
GRID 1B,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed,closed
3L5,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
2L5,closed,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open
